trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.1999999999999997, 'e': 0.30727873860113125}",20,11,7.677651489550374,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1999999999999997, 'e': 0.30119421191220214}",25,0,4.264908008424974,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.1999999999999997, 'e': 0.2952301669240142}",20,0,9.751856944695472,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.1999999999999997, 'e': 0.2893842179390506}",25,5,-24.518954133476186,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.1999999999999997, 'e': 0.2836540264997704}",25,11,-41.21414937170563,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.1999999999999997, 'e': 0.27803730045319414}",30,0,-26.515191503178105,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.1999999999999997, 'e': 0.2725317930340126}",20,9,2.257433720331632,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.1999999999999997, 'e': 0.26713530196585034}",25,14,6.8670082656071,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",35,9,-45.61461275515771,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",25,6,4.285021178763346,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999997, 'e': 0.25157855305975646}",20,0,-12.297827620995953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160643}",35,24,17.828954226269758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703645}",20,15,2.8381155205993256,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.1999999999999997, 'e': 0.23692775868212176}",35,24,19.306704834104497,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975883}",25,5,19.467392339915676,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381274}",30,16,24.46105298770973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842982}",25,14,-28.733431751801092,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221475}",25,0,12.722129812640102,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697794}",20,16,6.814342973423622,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076472}",30,7,14.00407228251445,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488344}",20,7,12.776841851712703,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1999999999999997, 'e': 0.20189651799465538}",20,13,9.474490142231838,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361465}",20,13,13.405243904228403,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",25,12,20.635016539035448,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.1901389801015205}",35,7,37.03171221955654,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1999999999999997, 'e': 0.18637397603940997}",25,14,-28.017486944759494,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",30,3,38.260181320316136,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149322}",20,13,13.755639540182104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1999999999999997, 'e': 0.17552040061699686}",30,12,28.882921508904467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",25,1,35.876980928526024,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1999999999999997, 'e': 0.1686381472685955}",20,5,14.498007794749652,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158653}",25,10,18.986910258998645,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388075}",20,14,9.927687727766582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1999999999999997, 'e': 0.15881742610692068}",20,3,-26.74831954672732,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
94,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",20,12,15.002339913630566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",25,15,17.588997361200345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",20,16,8.319513237047982,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",20,12,16.311612149330173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770293}",25,13,8.371359299523311,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",30,12,6.045229860262456,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",20,14,-0.9566715348477661,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",30,14,19.54772817936584,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012172}",20,12,14.606469242890928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1999999999999997, 'e': 0.1300287108784259}",25,7,-13.03723707823603,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",20,10,20.09661779303829,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858241}",20,13,3.7512512188369245,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.1224564282529819}",35,21,22.05637140720746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145673}",25,4,36.3474560470624,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11765484302177918}",25,6,0.22136622529170613,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806251}",20,13,14.6111816888877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044985}",25,14,19.093120884968336,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",20,9,18.86020760790725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495796}",20,7,19.947330805874508,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.1064585043792528}",35,13,4.004050911065553,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.104350484754765}",20,13,4.630460997248096,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553744}",30,23,10.175236146381096,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.1002588437228037}",20,0,-21.143915659745616,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436154}",25,5,14.895074710969045,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049303}",25,11,23.350225336214372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630235}",25,6,31.269817731645745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09255057751034329}",20,4,30.62596698783299,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941251}",20,14,12.63359215447826,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938634}",30,10,14.6747302541018,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.0871608514619813}",20,6,18.63531813591753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732123}",30,19,8.831023173035764,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",25,12,25.516471345196333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",20,6,23.08297321321721,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",20,16,8.488527532392373,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067495}",20,8,-16.111664347055008,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329974}",25,0,35.313129088103516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",30,13,7.864225422421258,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433388}",20,13,10.560647856771629,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07280286282743559}",30,12,-25.461182685229964,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638605}",20,6,22.80247493880348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",25,10,27.384329471760996,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427791}",25,17,16.72731690471641,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",20,12,6.201494371190883,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640295}",20,7,22.007554410798143,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316847}",25,17,12.314469360765386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.0632917683596407}",30,15,31.330716943535784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1999999999999997, 'e': 0.06203850737735829}",20,4,14.031769801959328,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521795}",25,16,-5.407328115230502,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.05960594270893937}",30,19,19.579571393835934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.05842566596450083}",20,6,28.751848850901915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05726876026546736}",30,16,25.608474942037553,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.056134762834133725}",25,13,19.284615767714595,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.05502322005640723}",30,0,47.73247383980872,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.1999999999999997, 'e': 0.05393368730035602}",30,12,31.619677125775365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05286572873835037}",30,16,16.72171603253891,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272583}",20,14,11.991058344621518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.0507928338648985}",35,21,16.30827430990316,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1999999999999997, 'e': 0.049787068367863944}",20,5,24.95880017908535,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201296}",20,0,33.98429254693954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.1999999999999997, 'e': 0.04783488949419837}",25,16,15.548539571601346,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.046887695219988486}",35,20,26.246798716975743,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.045959256649044204}",20,6,24.463790504810806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1999999999999997, 'e': 0.0450492023935578}",20,14,11.332981491593394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969286}",20,15,9.724121911083063,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1999999999999997, 'e': 0.043282797901965896}",20,13,15.799113274436952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.042425741080511385}",30,17,23.09292214254586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117316}",20,0,32.21578182663213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836621}",20,13,11.998210514900181,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.039955058260653896}",20,14,14.051666642203449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.039163895098987066}",25,13,9.801175150099992,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.038388398017552054}",25,15,-3.03446945784306,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.1999999999999997, 'e': 0.0376282568071762}",20,3,24.95905035319889,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.036883167401239994}",25,16,6.64702734049362,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",25,15,18.278493683504102,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159864}",20,13,14.079652910392662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473856}",25,17,14.697697088553655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1999999999999997, 'e': 0.034047454734599344}",20,1,30.96177331203817,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1999999999999997, 'e': 0.03337326996032608}",20,11,17.40156657642764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1999999999999997, 'e': 0.03271243493901982}",25,13,11.111205889168247,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
